id,key,value,type
385713,highway,traffic_signals,regular
385740,created_by,YahooApplet 1.0,regular
385746,ref,2,regular
385746,name,Blanchardstown,regular
385746,highway,motorway_junction,regular
385851,ref,3,regular
385851,name,M1 Turnapin,regular
385851,highway,motorway_junction,regular
385935,highway,traffic_signals,regular
386265,highway,traffic_signals,regular
386490,created_by,YahooApplet 1.0,regular
389063,created_by,YahooApplet 1.0,regular
389314,highway,traffic_signals,regular
389630,highway,crossing,regular
389630,crossing,traffic_signals,regular
389680,highway,traffic_signals,regular
389708,highway,traffic_signals,regular
597486,highway,traffic_signals,regular
659804,highway,traffic_signals,regular
659804,junction,yes,regular
659804,ref,J43,regular
659809,highway,traffic_signals,regular
661448,name,Killester,regular
661448,layer,1,regular
661448,train,yes,regular
661448,en,Killester,name
661448,ga,Cill Easra,name
661448,network,DART,regular
661448,railway,station,regular
661448,operator,Irish Rail,regular
661448,wikidata,Q3196643,regular
661448,city,Dublin 3,addr
661448,wheelchair,yes,regular
661448,street,Middle Third,addr
661448,public_transport,stop_position,regular
662070,bus,yes,regular
662070,highway,bus_stop,regular
662070,name,3802,regular
662070,public_transport,platform,regular
662070,shelter,no,regular
662088,name,Booterstown,regular
662088,train,yes,regular
662088,en,Booterstown,name
662088,ga,Baile an Bhóthair,name
662088,network,DART,regular
662088,railway,station,regular
662088,operator,Irish Rail,regular
662088,wikidata,Q3969079,regular
662088,city,Booterstown,addr
662088,wikipedia,en:Booterstown railway station,regular
662088,wheelchair,yes,regular
662088,street,Rock Road,addr
662088,public_transport,stop_position,regular
662179,highway,traffic_signals,regular
666306,highway,traffic_signals,regular
666332,highway,crossing,regular
666332,crossing,traffic_signals,regular
666674,highway,traffic_signals,regular
666679,highway,traffic_signals,regular
666679,traffic_signals,signal,regular
670995,highway,traffic_signals,regular
672381,railway,level_crossing,regular
901810,created_by,YahooApplet 1.0,regular
1442742,highway,traffic_signals,regular
1442758,highway,traffic_signals,regular
1442758,crossing,traffic_signals,regular
2384035,highway,stop,regular
2384409,traffic_calming,hump,regular
2384496,highway,traffic_signals,regular
2655703,highway,traffic_signals,regular
2656044,highway,traffic_signals,regular
2877540,created_by,YahooApplet 1.0,regular
3075532,highway,crossing,regular
3075532,crossing,traffic_signals,regular
4222051,created_by,JOSM,regular
4222180,highway,traffic_signals,regular
4222188,created_by,JOSM,regular
4222226,highway,traffic_signals,regular
4222239,highway,traffic_signals,regular
4222247,created_by,JOSM,regular
4222325,created_by,JOSM,regular
4222331,created_by,JOSM,regular
4238224,created_by,JOSM,regular
4238232,highway,traffic_signals,regular
4238241,highway,mini_roundabout,regular
4238241,direction,clockwise,regular
4238263,created_by,JOSM,regular
4238283,created_by,JOSM,regular
4238387,created_by,JOSM,regular
4238407,highway,traffic_signals,regular
5913451,created_by,JOSM,regular
5914600,created_by,JOSM,regular
5947090,highway,mini_roundabout,regular
5947090,direction,clockwise,regular
6146344,created_by,JOSM,regular
6303482,created_by,JOSM,regular
